,index,block,block_length,line,line_length,part_of_word,block_words
0,0,BRAVE NEW WORLD REVISITED,1,BRAVE NEW WORLD REVISITED,4,"['ADJ', 'PROPN']",4
1,1,BY ALDOUS HUXLEY,1,BY ALDOUS HUXLEY,3,"['ADP', 'PROPN']",3
2,2,Foreward,1,Foreward,1,['NOUN'],1
3,3,"The soul of wit may become the very body of untruth. However elegant and memorable, brevity can never, in the nature of things, do justice to all the facts of a complex situation. On such a theme one can be brief only by omission and simplification. Omission and simplification help us to understand -- but help us, in many cases, to understand the wrong thing; for our comprehension may be only of the abbreviator's neatly formulated notions, not of the vast, ramifying reality from which these notions have been so arbitrarily abstracted.",4,The soul of wit may become the very body of untruth.,11,"['DET', 'NOUN', 'ADP', 'AUX', 'VERB', 'ADJ', 'PUNCT']",92
4,3,"The soul of wit may become the very body of untruth. However elegant and memorable, brevity can never, in the nature of things, do justice to all the facts of a complex situation. On such a theme one can be brief only by omission and simplification. Omission and simplification help us to understand -- but help us, in many cases, to understand the wrong thing; for our comprehension may be only of the abbreviator's neatly formulated notions, not of the vast, ramifying reality from which these notions have been so arbitrarily abstracted.",4,"However elegant and memorable, brevity can never, in the nature of things, do justice to all the facts of a complex situation.",22,"['ADV', 'ADJ', 'CCONJ', 'PUNCT', 'NOUN', 'AUX', 'ADP', 'DET', 'VERB']",92
5,3,"The soul of wit may become the very body of untruth. However elegant and memorable, brevity can never, in the nature of things, do justice to all the facts of a complex situation. On such a theme one can be brief only by omission and simplification. Omission and simplification help us to understand -- but help us, in many cases, to understand the wrong thing; for our comprehension may be only of the abbreviator's neatly formulated notions, not of the vast, ramifying reality from which these notions have been so arbitrarily abstracted.",4,On such a theme one can be brief only by omission and simplification.,13,"['ADP', 'DET', 'NOUN', 'AUX', 'ADJ', 'ADV', 'CCONJ', 'PUNCT']",92
6,3,"The soul of wit may become the very body of untruth. However elegant and memorable, brevity can never, in the nature of things, do justice to all the facts of a complex situation. On such a theme one can be brief only by omission and simplification. Omission and simplification help us to understand -- but help us, in many cases, to understand the wrong thing; for our comprehension may be only of the abbreviator's neatly formulated notions, not of the vast, ramifying reality from which these notions have been so arbitrarily abstracted.",4,"Omission and simplification help us to understand -- but help us, in many cases, to understand the wrong thing; for our comprehension may be only of the abbreviator's neatly formulated notions, not of the vast, ramifying reality from which these notions have been so arbitrarily abstracted.",46,"['NOUN', 'CCONJ', 'VERB', 'PRON', 'PART', 'PUNCT', 'ADP', 'ADJ', 'DET', 'AUX', 'ADV']",92
7,4,"But life is short and information endless: nobody has time for everything. In practice we are generally forced to choose between an unduly brief exposition and no exposition at all. Abbreviation is a necessary evil and the abbreviator's business is to make the best of a job which, though intrinsically bad, is still better than nothing. He must learn to simplify, but not to the point of falsification. He must learn to concentrate upon the essentials of a situation, but without ignoring too many of reality's qualifying side issues. In this way he may be able to tell, not indeed the whole truth (for the whole truth about almost any important subject is incompatible with brevity), but considerably more than the dangerous quarter-truths and half-truths which have always been the current coin of thought.",6,But life is short and information endless: nobody has time for everything.,12,"['CCONJ', 'NOUN', 'AUX', 'ADJ', 'PUNCT', 'PRON', 'VERB', 'ADP']",134
8,4,"But life is short and information endless: nobody has time for everything. In practice we are generally forced to choose between an unduly brief exposition and no exposition at all. Abbreviation is a necessary evil and the abbreviator's business is to make the best of a job which, though intrinsically bad, is still better than nothing. He must learn to simplify, but not to the point of falsification. He must learn to concentrate upon the essentials of a situation, but without ignoring too many of reality's qualifying side issues. In this way he may be able to tell, not indeed the whole truth (for the whole truth about almost any important subject is incompatible with brevity), but considerably more than the dangerous quarter-truths and half-truths which have always been the current coin of thought.",6,In practice we are generally forced to choose between an unduly brief exposition and no exposition at all.,18,"['ADP', 'NOUN', 'PRON', 'AUX', 'ADV', 'VERB', 'PART', 'DET', 'ADJ', 'CCONJ', 'PUNCT']",134
9,4,"But life is short and information endless: nobody has time for everything. In practice we are generally forced to choose between an unduly brief exposition and no exposition at all. Abbreviation is a necessary evil and the abbreviator's business is to make the best of a job which, though intrinsically bad, is still better than nothing. He must learn to simplify, but not to the point of falsification. He must learn to concentrate upon the essentials of a situation, but without ignoring too many of reality's qualifying side issues. In this way he may be able to tell, not indeed the whole truth (for the whole truth about almost any important subject is incompatible with brevity), but considerably more than the dangerous quarter-truths and half-truths which have always been the current coin of thought.",6,"Abbreviation is a necessary evil and the abbreviator's business is to make the best of a job which, though intrinsically bad, is still better than nothing.",26,"['NOUN', 'AUX', 'DET', 'ADJ', 'CCONJ', 'PART', 'VERB', 'ADP', 'PRON', 'PUNCT', 'SCONJ', 'ADV']",134
