,index,block,block_length,line,line_length,part_of_word,block_words
0,0,я,1,я,1,['X'],1
1,1,я,1,я,1,['X'],1
2,2,я,1,я,1,['X'],1
3,3,я,1,я,1,['X'],1
4,4,1,1,1,1,['X'],1
5,5,Here Comes Charlie,1,Here Comes Charlie,3,"['ADV', 'VERB', 'PROPN']",3
6,6,я,1,я,1,['X'],1
7,7,These two very old people are the father and mother of Mr. Bucket. Their names are Grandpa Joe and Grandma Josephine.,2,These two very old people are the father and mother of Mr. Bucket.,13,"['DET', 'NUM', 'ADV', 'ADJ', 'NOUN', 'AUX', 'CCONJ', 'ADP', 'PROPN', 'PUNCT']",21
8,7,These two very old people are the father and mother of Mr. Bucket. Their names are Grandpa Joe and Grandma Josephine.,2,Their names are Grandpa Joe and Grandma Josephine.,8,"['PRON', 'NOUN', 'AUX', 'PROPN', 'CCONJ', 'PUNCT']",21
9,8,я,1,я,1,['X'],1
10,9,я,1,я,1,['X'],1
11,10,я,1,я,1,['X'],1
12,11,я,1,я,1,['X'],1
13,12,я,1,я,1,['X'],1
14,13,я,1,я,1,['X'],1
15,14,я,1,я,1,['X'],1
16,15,я,1,я,1,['X'],1
17,16,And these two very old people are the father and mother of Mrs. Bucket. Their names are Grandpa George and Grandma Georgina.,2,And these two very old people are the father and mother of Mrs. Bucket.,14,"['CCONJ', 'DET', 'NUM', 'ADV', 'ADJ', 'NOUN', 'AUX', 'ADP', 'PROPN', 'PUNCT']",22
18,16,And these two very old people are the father and mother of Mrs. Bucket. Their names are Grandpa George and Grandma Georgina.,2,Their names are Grandpa George and Grandma Georgina.,8,"['PRON', 'NOUN', 'AUX', 'PROPN', 'CCONJ', 'PUNCT']",22
19,17,я,1,я,1,['X'],1
20,18,я,1,я,1,['X'],1
21,19,я,1,я,1,['X'],1
22,20,я,1,я,1,['X'],1
23,21,я,1,я,1,['X'],1
24,22,я,1,я,1,['X'],1
25,23,я,1,я,1,['X'],1
26,24,я,1,я,1,['X'],1
27,25,я,1,я,1,['X'],1
28,26,я,1,я,1,['X'],1
29,27,я,1,я,1,['X'],1
30,28,я,1,я,1,['X'],1
31,29,This is Mr. and Mrs. Bucket. Mr. and Mrs. Bucket have a small boy whose name is Charlie Bucket.,2,This is Mr. and Mrs. Bucket.,6,"['PRON', 'AUX', 'PROPN', 'CCONJ', 'PUNCT']",19
32,29,This is Mr. and Mrs. Bucket. Mr. and Mrs. Bucket have a small boy whose name is Charlie Bucket.,2,Mr. and Mrs. Bucket have a small boy whose name is Charlie Bucket.,13,"['PROPN', 'CCONJ', 'VERB', 'DET', 'ADJ', 'NOUN', 'AUX', 'PUNCT']",19
33,30,The whole of this family-the six grownups (count them) and little Charlie Bucket-live together in a small wooden house on the edge of a great town.,1,The whole of this family-the six grownups (count them) and little Charlie Bucket-live together in a small wooden house on the edge of a great town.,26,"['DET', 'NOUN', 'ADP', 'PUNCT', 'NUM', 'VERB', 'PRON', 'CCONJ', 'ADJ', 'PROPN', 'ADV']",26
34,31,я,1,я,1,['X'],1
35,32,"The house wasn't nearly large enough for so many people, and life was extremely uncomfortable for them all. There were only two rooms in the place altogether and there was only one bed. The bed was given to the four old grandparents because they were so old and tired. They were so tired, they never got out of it.",4,"The house was not nearly large enough for so many people, and life was extremely uncomfortable for them all.",19,"['DET', 'NOUN', 'AUX', 'PART', 'ADV', 'ADJ', 'ADP', 'PUNCT', 'CCONJ', 'PRON']",60
36,32,"The house wasn't nearly large enough for so many people, and life was extremely uncomfortable for them all. There were only two rooms in the place altogether and there was only one bed. The bed was given to the four old grandparents because they were so old and tired. They were so tired, they never got out of it.",4,There were only two rooms in the place altogether and there was only one bed.,15,"['PRON', 'VERB', 'ADV', 'NUM', 'NOUN', 'ADP', 'DET', 'CCONJ', 'PUNCT']",60
