,index,block,block_length,line,line_length,part_of_word,block_words
0,0,Harry Potter and the Sorcerer's Stone,1,Harry Potter and the Sorcerer's Stone,6,"['PROPN', 'CCONJ', 'DET', 'PART']",6
1,1,CHAPTER ONE,1,CHAPTER ONE,2,"['NOUN', 'NUM']",2
2,2,THE BOY WHO LIVED,1,THE BOY WHO LIVED,4,"['DET', 'PROPN', 'PRON', 'VERB']",4
3,3,"Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much. They were the last people you'd expect to be involved in anything strange or mysterious, because they just didn't hold with such nonsense.",2,"Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much.",22,"['PROPN', 'CCONJ', 'PUNCT', 'ADP', 'NOUN', 'NUM', 'AUX', 'ADJ', 'PART', 'VERB', 'SCONJ', 'PRON', 'ADV']",47
4,3,"Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much. They were the last people you'd expect to be involved in anything strange or mysterious, because they just didn't hold with such nonsense.",2,"They were the last people you would expect to be involved in anything strange or mysterious, because they just did not hold with such nonsense.",25,"['PRON', 'AUX', 'DET', 'ADJ', 'NOUN', 'VERB', 'PART', 'ADP', 'CCONJ', 'PUNCT', 'SCONJ', 'ADV']",47
5,4,"Mr. Dursley was the director of a firm called Grunnings, which made drills. He was a big, beefy man with hardly any neck, although he did have a very large mustache. Mrs. Dursley was thin and blonde and had nearly twice the usual amount of neck, which came in very useful as she spent so much of her time craning over garden fences, spying on the neighbors. The Dursleys had a small son called Dudley and in their opinion there was no finer boy anywhere.",4,"Mr. Dursley was the director of a firm called Grunnings, which made drills.",13,"['PROPN', 'AUX', 'DET', 'NOUN', 'ADP', 'VERB', 'PUNCT', 'PRON']",85
6,4,"Mr. Dursley was the director of a firm called Grunnings, which made drills. He was a big, beefy man with hardly any neck, although he did have a very large mustache. Mrs. Dursley was thin and blonde and had nearly twice the usual amount of neck, which came in very useful as she spent so much of her time craning over garden fences, spying on the neighbors. The Dursleys had a small son called Dudley and in their opinion there was no finer boy anywhere.",4,"He was a big, beefy man with hardly any neck, although he did have a very large mustache.",18,"['PRON', 'AUX', 'DET', 'ADJ', 'PUNCT', 'NOUN', 'ADP', 'ADV', 'SCONJ', 'VERB']",85
7,4,"Mr. Dursley was the director of a firm called Grunnings, which made drills. He was a big, beefy man with hardly any neck, although he did have a very large mustache. Mrs. Dursley was thin and blonde and had nearly twice the usual amount of neck, which came in very useful as she spent so much of her time craning over garden fences, spying on the neighbors. The Dursleys had a small son called Dudley and in their opinion there was no finer boy anywhere.",4,"Mrs. Dursley was thin and blonde and had nearly twice the usual amount of neck, which came in very useful as she spent so much of her time craning over garden fences, spying on the neighbors.",36,"['PROPN', 'AUX', 'ADJ', 'CCONJ', 'VERB', 'ADV', 'DET', 'NOUN', 'ADP', 'PUNCT', 'PRON', 'SCONJ']",85
8,4,"Mr. Dursley was the director of a firm called Grunnings, which made drills. He was a big, beefy man with hardly any neck, although he did have a very large mustache. Mrs. Dursley was thin and blonde and had nearly twice the usual amount of neck, which came in very useful as she spent so much of her time craning over garden fences, spying on the neighbors. The Dursleys had a small son called Dudley and in their opinion there was no finer boy anywhere.",4,The Dursleys had a small son called Dudley and in their opinion there was no finer boy anywhere.,18,"['DET', 'PROPN', 'VERB', 'ADJ', 'NOUN', 'CCONJ', 'ADP', 'PRON', 'ADV', 'PUNCT']",85
9,5,"The Dursleys had everything they wanted, but they also had a secret, and their greatest fear was that somebody would discover it. They didn't think they could bear it if anyone found out about the Potters. Mrs. Potter was Mrs. Dursley's sister, but they hadn't met for several years; in fact, Mrs. Dursley pretended she didn't have a sister, because her sister and her good-for-nothing husband were as unDursleyish as it was possible to be. The Dursleys shuddered to think what the neighbors would say if the Potters arrived in the street. The Dursleys knew that the Potters had a small son, too, but they had never even seen him. This boy was another good reason for keeping the Potters away; they didn't want Dudley mixing with a child like that.",6,"The Dursleys had everything they wanted, but they also had a secret, and their greatest fear was that somebody would discover it.",22,"['DET', 'PROPN', 'VERB', 'PRON', 'PUNCT', 'CCONJ', 'ADV', 'NOUN', 'ADJ', 'AUX', 'SCONJ']",135
10,5,"The Dursleys had everything they wanted, but they also had a secret, and their greatest fear was that somebody would discover it. They didn't think they could bear it if anyone found out about the Potters. Mrs. Potter was Mrs. Dursley's sister, but they hadn't met for several years; in fact, Mrs. Dursley pretended she didn't have a sister, because her sister and her good-for-nothing husband were as unDursleyish as it was possible to be. The Dursleys shuddered to think what the neighbors would say if the Potters arrived in the street. The Dursleys knew that the Potters had a small son, too, but they had never even seen him. This boy was another good reason for keeping the Potters away; they didn't want Dudley mixing with a child like that.",6,They did not think they could bear it if anyone found out about the Potters.,15,"['PRON', 'AUX', 'PART', 'VERB', 'SCONJ', 'ADP', 'DET', 'PROPN', 'PUNCT']",135
