,index,block,block_length,line,line_length,part_of_word,block_words
0,0,TO KILL A MOCKINGBIRD,1,TO KILL A MOCKINGBIRD,4,"['PART', 'VERB', 'DET', 'PROPN']",4
1,1,PART ONEChapter 1,1,PART ONEChapter 1,3,"['PROPN', 'NUM']",3
2,2,"When he was nearly thirteen, my brother Jem got his arm badly broken at the elbow. When it healed, and Jem's fears of never being able to play football were assuaged, he was seldom self-conscious about his injury. His left arm was somewhat shorter than his right; when he stood or walked, the back of his hand was at right angles to his body, his thumb parallel to his thigh. He couldn't have cared less, so long as he could pass and punt.",4,"When he was nearly thirteen, my brother Jem got his arm badly broken at the elbow.",16,"['SCONJ', 'PRON', 'AUX', 'ADV', 'NUM', 'PUNCT', 'NOUN', 'PROPN', 'VERB', 'ADP', 'DET']",84
3,2,"When he was nearly thirteen, my brother Jem got his arm badly broken at the elbow. When it healed, and Jem's fears of never being able to play football were assuaged, he was seldom self-conscious about his injury. His left arm was somewhat shorter than his right; when he stood or walked, the back of his hand was at right angles to his body, his thumb parallel to his thigh. He couldn't have cared less, so long as he could pass and punt.",4,"When it healed, and Jem's fears of never being able to play football were assuaged, he was seldom self-conscious about his injury.",22,"['SCONJ', 'PRON', 'VERB', 'PUNCT', 'CCONJ', 'PROPN', 'PART', 'NOUN', 'ADP', 'ADV', 'AUX', 'ADJ']",84
4,2,"When he was nearly thirteen, my brother Jem got his arm badly broken at the elbow. When it healed, and Jem's fears of never being able to play football were assuaged, he was seldom self-conscious about his injury. His left arm was somewhat shorter than his right; when he stood or walked, the back of his hand was at right angles to his body, his thumb parallel to his thigh. He couldn't have cared less, so long as he could pass and punt.",4,"His left arm was somewhat shorter than his right; when he stood or walked, the back of his hand was at right angles to his body, his thumb parallel to his thigh.",32,"['PRON', 'ADJ', 'NOUN', 'AUX', 'ADV', 'ADP', 'PUNCT', 'SCONJ', 'VERB', 'CCONJ', 'DET']",84
5,2,"When he was nearly thirteen, my brother Jem got his arm badly broken at the elbow. When it healed, and Jem's fears of never being able to play football were assuaged, he was seldom self-conscious about his injury. His left arm was somewhat shorter than his right; when he stood or walked, the back of his hand was at right angles to his body, his thumb parallel to his thigh. He couldn't have cared less, so long as he could pass and punt.",4,"He could not have cared less, so long as he could pass and punt.",14,"['PRON', 'AUX', 'PART', 'VERB', 'ADJ', 'PUNCT', 'ADV', 'SCONJ', 'CCONJ']",84
6,3,"When enough years had gone by to enable us to look back on them, we sometimes discussed the events leading to his accident. I maintain that the Ewells started it all, but Jem, who was four years my senior, said it started long before that. He said it began the summer Dill came to us, when Dill first gave us the idea of making Boo Radley come out.",3,"When enough years had gone by to enable us to look back on them, we sometimes discussed the events leading to his accident.",23,"['SCONJ', 'ADJ', 'NOUN', 'AUX', 'VERB', 'ADP', 'PART', 'PRON', 'ADV', 'PUNCT', 'DET']",68
7,3,"When enough years had gone by to enable us to look back on them, we sometimes discussed the events leading to his accident. I maintain that the Ewells started it all, but Jem, who was four years my senior, said it started long before that. He said it began the summer Dill came to us, when Dill first gave us the idea of making Boo Radley come out.",3,"I maintain that the Ewells started it all, but Jem, who was four years my senior, said it started long before that.",22,"['PRON', 'VERB', 'SCONJ', 'DET', 'PROPN', 'PUNCT', 'CCONJ', 'AUX', 'NUM', 'NOUN', 'ADV', 'ADP']",68
8,3,"When enough years had gone by to enable us to look back on them, we sometimes discussed the events leading to his accident. I maintain that the Ewells started it all, but Jem, who was four years my senior, said it started long before that. He said it began the summer Dill came to us, when Dill first gave us the idea of making Boo Radley come out.",3,"He said it began the summer Dill came to us, when Dill first gave us the idea of making Boo Radley come out.",23,"['PRON', 'VERB', 'DET', 'NOUN', 'PROPN', 'ADP', 'PUNCT', 'SCONJ', 'ADV']",68
9,4,"I said if he wanted to take a broad view of the thing, it really began with Andrew Jackson. If General Jackson hadn't run the Creeks up the creek, Simon Finch would never have paddled up the Alabama, and where would we be if he hadn't? We were far too old to settle an argument with a fist-fight, so we consulted Atticus. Our father said we were both right.",4,"I said if he wanted to take a broad view of the thing, it really began with Andrew Jackson.",19,"['PRON', 'VERB', 'SCONJ', 'PART', 'DET', 'ADJ', 'NOUN', 'ADP', 'PUNCT', 'ADV', 'PROPN']",71
10,4,"I said if he wanted to take a broad view of the thing, it really began with Andrew Jackson. If General Jackson hadn't run the Creeks up the creek, Simon Finch would never have paddled up the Alabama, and where would we be if he hadn't? We were far too old to settle an argument with a fist-fight, so we consulted Atticus. Our father said we were both right.",4,"If General Jackson had not run the Creeks up the creek, Simon Finch would never have paddled up the Alabama, and where would we be if he had not?",29,"['SCONJ', 'PROPN', 'AUX', 'PART', 'VERB', 'DET', 'ADP', 'NOUN', 'PUNCT', 'ADV', 'CCONJ', 'PRON']",71
11,4,"I said if he wanted to take a broad view of the thing, it really began with Andrew Jackson. If General Jackson hadn't run the Creeks up the creek, Simon Finch would never have paddled up the Alabama, and where would we be if he hadn't? We were far too old to settle an argument with a fist-fight, so we consulted Atticus. Our father said we were both right.",4,"We were far too old to settle an argument with a fist-fight, so we consulted Atticus.",16,"['PRON', 'AUX', 'ADV', 'ADJ', 'PART', 'VERB', 'DET', 'NOUN', 'ADP', 'PUNCT', 'PROPN']",71
12,4,"I said if he wanted to take a broad view of the thing, it really began with Andrew Jackson. If General Jackson hadn't run the Creeks up the creek, Simon Finch would never have paddled up the Alabama, and where would we be if he hadn't? We were far too old to settle an argument with a fist-fight, so we consulted Atticus. Our father said we were both right.",4,Our father said we were both right.,7,"['PRON', 'NOUN', 'VERB', 'AUX', 'ADV', 'ADJ', 'PUNCT']",71
