,index,block,block_length,line,line_length,part_of_word,block_words
0,0,"TOM!""",1,"TOM!""",1,"['PROPN', 'PUNCT']",1
1,1,No answer.,1,No answer.,2,"['DET', 'NOUN', 'PUNCT']",2
2,2,"""TOM!""",1,"""TOM!""",1,"['PUNCT', 'PROPN']",1
3,3,No answer.,1,No answer.,2,"['DET', 'NOUN', 'PUNCT']",2
4,4,"""What's wrong with that boy, I wonder? You TOM!""",2,"""What is wrong with that boy, I wonder?",8,"['PUNCT', 'PRON', 'AUX', 'ADJ', 'ADP', 'DET', 'NOUN', 'VERB']",10
5,4,"""What's wrong with that boy, I wonder? You TOM!""",2,"You TOM!""",2,"['PRON', 'PROPN', 'PUNCT']",10
6,5,No answer.,1,No answer.,2,"['DET', 'NOUN', 'PUNCT']",2
7,6,"The old lady pulled her spectacles down and looked over them about the room; then she put them up and looked out under them. She seldom or never looked through them for so small a thing as a boy; they were her state pair, the pride of her heart, and were built for ""style,"" not service-she could have seen through a pair of stove lids just as well. She looked perplexed for a moment, and then said, not fiercely, but still loud enough for the furniture to hear:",3,The old lady pulled her spectacles down and looked over them about the room; then she put them up and looked out under them.,24,"['DET', 'ADJ', 'NOUN', 'VERB', 'PRON', 'ADP', 'CCONJ', 'PUNCT', 'ADV']",88
8,6,"The old lady pulled her spectacles down and looked over them about the room; then she put them up and looked out under them. She seldom or never looked through them for so small a thing as a boy; they were her state pair, the pride of her heart, and were built for ""style,"" not service-she could have seen through a pair of stove lids just as well. She looked perplexed for a moment, and then said, not fiercely, but still loud enough for the furniture to hear:",3,"She seldom or never looked through them for so small a thing as a boy; they were her state pair, the pride of her heart, and were built for ""style,"" not service-she could have seen through a pair of stove lids just as well.",44,"['PRON', 'ADV', 'CCONJ', 'VERB', 'ADP', 'ADJ', 'DET', 'NOUN', 'PUNCT', 'AUX', 'PART']",88
9,6,"The old lady pulled her spectacles down and looked over them about the room; then she put them up and looked out under them. She seldom or never looked through them for so small a thing as a boy; they were her state pair, the pride of her heart, and were built for ""style,"" not service-she could have seen through a pair of stove lids just as well. She looked perplexed for a moment, and then said, not fiercely, but still loud enough for the furniture to hear:",3,"She looked perplexed for a moment, and then said, not fiercely, but still loud enough for the furniture to hear:",20,"['PRON', 'VERB', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT', 'CCONJ', 'ADV', 'PART', 'SCONJ']",88
